Qty	Digikey Part Number	Value	Device	Parts
4	1276-1106-1-ND	220nF	C-USC1206	C1,C9,C11,C12
4	PCE4238CT-ND	100uF	CAP_POLD	C14,C15,C16,C17
3	399-8013-1-ND	10uF	C-USC1206	C2,C8,C13
1	1276-1772-1-ND	1nF	C-USC1206	C3
5	1276-1007-1-ND	100nF	C-USC1206	C4,C5,C6,C7,C10
6	568-8205-1-ND		BAV99	D1,D2,D3,D4,D5,D6
1	MBR130LSFT1GOSCT-ND		DIODESOD-123	D7
1	507-1517-1-ND	500mA	FUSE_PTC-0805	F1
1	507-1468-1-ND		TG110-E139N5	FX1
1	ENC28J60-I/SO-ND		ENC28J60	IC1
1	ATMEGA168A-AU-ND	MCU	MEGA8-AI	IC2
1	MCP1824T-3302E/OTCT-ND	3.3V	V_REG_SOT23-5	IC3
1	AP1509-33SGDICT-ND	3.3V	AP1509	IC4
4	620-1400-1-ND		A4950	IC5,IC6,IC7,IC8
1	ED2742-ND	3.5MM	M04SCREW_LOCK	JP4
1	A98041-ND	3.5MM	M08SCREW_LOCK	JP5
1	CM322522-100KLCT-ND	FERRITE BEAD	INDUCTOR1210	L1
1	587-1627-1-ND	47uH	INDUCTOR1210	L2
2	475-1416-1-ND	RED	LEDCHIPLED_1206	LED1,LED2
1	IRLML6344TRPBFCT-ND	N-CH 30V 5A FET	MOSFET-NREFLOW	Q1
4	RMCF1206FT1K00CT-ND	1k	R-US_R1206	R1,R2,R10,R11
2	RMCF1206FT68R0CT-ND	68	R-US_R1206	R14,R16
1	RMCF1206FT1K50CT-ND	1.5k	R-US_R1206	R15
1	RMCF1206FT10K0CT-ND	10k	R-US_R1206	R17
1	RMCF1206FT2K32CT-ND	2.3k	R-US_R1206	R3
4	RMCF1206FT75R0CT-ND	75	R-US_R1206	R4,R5,R9,R13
4	RMCF1206FT49R9CT-ND	49.9	R-US_R1206	R6,R7,R8,R12
2	609-1046-ND		RJ45-8PTH	RJ1,RJ2
1	450-1140-ND	2-SMD-1101NE	SWITCH-MOMENTARY	S1
1	563-1004-1-ND	SWS001	SWITCH-DIP	S2
1	ED2992CT-ND		USBSMD	X1
1	445-1650-1-ND	25MHz	RESONATORSMD	Y1
